bedrooms,baths,sqft,total_rooms,maintenance_fee,days_on_the_market,subway_distance,school_distance,price
2,1,1240,4.5,1370,0,0.0806,0.262,999000
3,3,1800,6,1520,0,0.101,0.334,2400000
1,1,900,3.5,598,0,0.122,0.278,1300000
1,1,500,3,746,0,0.156,0.386,395000
1,1,702,3,510,0,0.122,0.278,775000
1,1,775,3,1620,0,0.163,0.278,850000
1,1,840,3.5,517,0,0.0644,0.271,1150000
2,2,1010,4,682,1,0.11,0.25,1500000
0,1,540,2.5,331,2,0.0644,0.271,795000
3,2,1680,5,1440,2,0.0919,0.15,2500000
1,1,648,3,399,3,0.0644,0.271,975000
1,1,840,3.5,1270,3,0.137,0.276,849000
3,2,1750,5.5,2220,7,0.196,0.105,2950000
3,2,1990,6,1280,7,0.183,0.329,2900000
1,1,650,3,823,8,0.211,0.165,549000
1,1,708,3,514,8,0.178,0.225,650000
1,1,547,3,571,11,0.214,0.149,598000
2,2,1400,5,2140,11,0.0321,0.204,1650000
0,1,502,2.5,520,11,0.0509,0.144,615000
1,1,800,3.5,1400,11,0.153,0.249,650000
1,1,510,3.5,720,12,0.18,0.363,480000
1,1,700,3,1480,12,0.21,0.00429,525000
2,1,1300,4.5,1280,12,0.169,0.259,1250000
2,2,1140,4.5,702,13,0.0644,0.271,1880000
3,2,1600,6,2010,13,0.0319,0.246,1750000
2,1,1000,4,1430,13,0.0911,0.083,765000
1,1,750,3.5,615,13,0.231,0.124,725000
2,2,880,4,1000,13,0.0773,0.0363,1300000
2,2,1460,4,1470,14,0.223,0.0389,2550000
1,1,626,3,408,14,0.235,0.0051,835000
2,1,1130,4.5,1510,14,0.0428,0.211,1150000
2,1,900,4,1450,14,0.146,0.239,775000
2,2,1250,5,1850,15,0.127,0.227,1700000
1,1,500,3,950,15,0.156,0.386,425000
1,1,300,1,521,15,0.166,0.349,295000
0,1,540,3,351,15,0.122,0.278,650000
2,2,1110,5,869,15,0.207,0.212,1280000
2,2,1240,4.5,906,15,0.178,0.225,1700000
0,1,650,2.5,472,16,0.122,0.278,699000
1,1,547,3,571,16,0.214,0.149,770000
2,1,1250,5,1480,16,0.0894,0.281,1550000
2,1,1150,4.5,1930,16,0.125,0.151,1300000
2,1,1300,5,2560,16,0.142,0.113,1250000
1,1,634,3,660,16,0.199,0.116,929000
1,1,735,3.5,600,16,0.231,0.124,1110000
3,2,1190,5.5,748,16,0.166,0.197,1750000
2,2,1110,6,1390,17,0.182,0.223,2000000
1,1,700,3,731,17,0.161,0.295,620000
1,1,1050,4,1030,17,0.226,0.251,1600000
1,1,600,3,810,18,0.216,0.36,575000
3,3,1750,6,1780,18,0.226,0.251,2750000
2,2,142,4.5,743,18,0.122,0.278,1850000
2,2,910,4,900,18,0.261,0.178,1300000
2,2,1360,5,1440,18,0.214,0.149,2500000
1,1,1110,3,1080,18,0.182,0.223,1100000
0,1,532,2.5,327,18,0.0644,0.271,775000
2,1,1200,4.5,941,18,0.213,0.0799,775000
2,2,1300,4.5,2460,18,0.228,0.38,1740000
1,1,725,3,324,19,0.125,0.1,779000
2,1,1500,6,1840,19,0.225,0.174,1500000
0,1,327,2.5,574,19,0.142,0.162,499000
3,1,1200,5.5,725,19,0.202,0.35,1200000
0,1,649,2.5,623,19,0.122,0.278,750000
2,2,824,4,757,19,0.172,0.394,1250000
0,1,545,2.5,335,19,0.0644,0.271,775000
2,2,1680,6,1510,20,0.13,0.225,2150000
1,1,780,3,848,20,0.166,0.197,1400000
1,1,532,2.5,365,20,0.122,0.278,625000
1,1,750,3,1080,20,0.152,0.314,659000
1,1,950,3.5,1580,20,0.157,0.112,795000
2,2,1200,5,2110,20,0.247,0.113,1450000
3,2,1800,7,1650,20,0.13,0.225,2600000
3,2,1680,6,1500,20,0.0919,0.15,2880000
1,1,625,4,771,20,0.158,0.43,550000
1,1,649,0,390,20,0.122,0.278,949000
3,2,1200,6,974,21,0.0513,0.202,1490000
2,2,1400,6,2260,21,0.142,0.126,1800000
0,1,436,2,336,21,0.0766,0.214,525000
1,1,600,3,992,21,0.208,0.155,700000
2,1,775,4,1110,21,0.179,0.0954,630000
1,1,702,3,451,21,0.0644,0.271,1130000
1,1,788,3.5,473,22,0.122,0.278,1170000
1,1,520,3,498,22,0.176,0.1,599000
2,1,1450,5,1740,22,0.0265,0.123,1750000
2,2,1520,5,1190,22,0.11,0.25,2000000
2,2,1140,4.5,863,22,0.122,0.278,1750000
2,2,1500,5,2380,22,0.19,0.22,2000000
2,2,1030,5,1600,22,0.0773,0.0363,1480000
3,3,1580,6,1680,23,0.182,0.45,2400000
1,1,550,3,953,23,0.175,0.0988,395000
1,1,750,3,1370,23,0.177,0.359,665000
2,1,950,4,1200,23,0.216,0.361,785000
1,1,650,3,844,24,0.0374,0.206,539000
1,1,1050,4,1050,24,0.226,0.251,1700000
0,1,540,2.5,332,24,0.0644,0.271,455000
3,2,2250,7,2830,24,0.0321,0.204,2600000
2,2,1110,4,1350,24,0.162,0.156,1680000
2,2,1480,5,1690,24,0.0265,0.123,2000000
1,1,600,3,1030,24,0.25,0.471,475000
1,1,813,3,968,24,0.177,0.411,875000
1,1,791,3,1090,24,0.159,0.0597,889000
2,2,971,5,494,25,0.125,0.1,1300000
0,1,402,2,371,25,0.199,0.116,530000
1,1,653,3,678,25,0.0773,0.0363,799000
0,1,545,2.5,571,26,0.214,0.149,675000
1,1,765,3.5,1680,26,0.163,0.278,699000
1,1,955,3.5,1030,26,0.168,0.225,1150000
2,2,924,4,1050,26,0.0773,0.0363,1250000
1,1,902,4,655,26,0.122,0.278,1400000
1,1,726,3,675,26,0.199,0.116,779000
1,1,840,3.5,600,26,0.122,0.278,1100000
1,1,787,3.5,558,26,0.122,0.278,999000
2,1,974,4.5,760,27,0.231,0.124,1380000
2,2,1180,4.5,1280,27,0.214,0.149,1680000
0,1,545,2.5,346,28,0.122,0.278,550000
2,2,1210,4,1610,28,0.159,0.0597,1500000
0,1,590,2.5,336,28,0.122,0.278,725000
1,1,925,3,954,28,0.173,0.312,925000
1,1,840,3,611,28,0.122,0.278,1200000
1,1,550,3,421,28,0.231,0.124,787000
3,2,1600,6,1780,28,0.182,0.223,2500000
1,1,1000,3.5,1080,28,0.205,0.0495,1180000
1,1,550,3,442,28,0.231,0.124,824000
3,2,1810,6,1370,28,0.0909,0.255,2100000
1,1,702,3,443,28,0.122,0.278,725000
1,1,702,3,443,28,0.122,0.278,975000
0,1,541,2,510,29,0.122,0.278,575000
2,2,1200,5,1560,29,0.217,0.363,1300000
2,2,1320,5.5,1420,29,0.168,0.225,1830000
3,2,1570,5.5,1560,29,0.151,0.374,2200000
1,1,753,3.5,602,29,0.231,0.124,1100000
2,2,1140,4.5,916,29,0.122,0.278,1850000
2,2,1600,6,2510,29,0.191,0.451,1600000
1,1,600,3,1070,30,0.25,0.471,455000
2,2,1640,6,1320,30,0.0909,0.255,2000000
1,1,525,3,672,30,0.136,0.0382,384000
2,1,850,4,1720,30,0.105,0.153,825000
2,2,1560,5,1830,30,0.173,0.102,2000000
1,1,735,3.5,624,30,0.231,0.124,1180000
2,2,880,4,1000,31,0.0773,0.0363,1150000
1,1,902,3.5,587,31,0.122,0.278,990000
0,1,403,2.5,420,31,0.199,0.116,499000
3,2,1750,7,1300,31,0.202,0.199,1950000
3,3,1400,6,2050,31,0.138,0.452,1650000
0.5,1,397,2,386,31,0.199,0.116,545000
1,1,650,3,1290,31,0.133,0.276,550000
1,2,1350,5,936,32,0.174,0.0963,1350000
0,1,540,2.5,347,32,0.0644,0.271,699000
2,2,1640,6,1180,32,0.0909,0.255,1750000
2,2,1550,5.5,1360,32,0.0644,0.271,2200000
0,1,399,2,403,32,0.199,0.116,570000
1,1,702,3,1190,32,0.139,0.277,1080000
2,2,1200,5,1980,32,0.098,0.182,1200000
1,2,700,3.5,1810,34,0.131,0.199,749000
2,2,1200,4.5,1550,34,0.19,0.113,1300000
1,1,600,4,841,34,0.213,0.155,725000
3,2,1190,5,749,35,0.166,0.197,1600000
2,1,1100,4.5,1410,35,0.0371,0.11,895000
2,2,1140,4.5,916,35,0.122,0.278,1950000
1,1,787,3.5,500,35,0.122,0.278,769000
2,2,1500,7,1560,35,0.163,0.296,1650000
2,2,1450,5,1880,36,0.171,0.349,1600000
2,1,1230,4,1530,36,0.152,0.314,1300000
2,2,1360,6,1070,36,0.163,0.186,1600000
0,1,415,2,419,36,0.199,0.116,570000
3,3,1450,5.5,2320,36,0.166,0.349,2000000
2,2,1140,4.5,830,36,0.122,0.278,1740000
2,2,1180,4.5,1190,37,0.214,0.149,2000000
1,1,750,3,823,37,0.196,0.105,1280000
2,2,2030,6,2710,37,0.0537,0.406,2150000
2,1,725,4,1080,38,0.127,0.227,1200000
2,2,1200,4.5,1390,38,0.174,0.345,1200000
0,1,532,0,387,38,0.122,0.278,560000
1,1,725,3.5,1070,39,0.236,0.162,679000
1,1,771,3.5,676,39,0.199,0.116,890000
2,1,900,4,1280,39,0.0619,0.359,925000
1,1,840,3.5,675,39,0.122,0.278,1150000
2,2,1320,4,1520,39,0.177,0.411,2000000
3,2,1350,5,1340,39,0.151,0.374,1950000
0,1,435,2,279,40,0.166,0.197,399000
3,3,1750,6,1770,40,0.226,0.251,2850000
2,2,1730,5.5,1260,40,0.101,0.334,2400000
2,2,1140,6,811,40,0.122,0.278,1750000
2,2,1240,4.5,1500,41,0.182,0.223,1750000
0,1,540,2.5,331,42,0.0644,0.271,695000
1,1,840,3.5,517,42,0.0644,0.271,1300000
2,1,1150,4.5,966,42,0.163,0.186,1050000
1,1,600,3,1010,43,0.112,0.0217,529000
3,2,1400,6,2520,43,0.117,0.178,1300000
1,1,690,3,833,43,0.182,0.223,899000
3,3,1800,6.5,1800,43,0.101,0.334,2700000
1,1,550,3,456,43,0.231,0.124,856000
0,1,532,3,378,44,0.122,0.278,795000
1,1,901,4,724,44,0.122,0.278,1300000
0.5,1,433,2.5,282,45,0.235,0.0051,545000
1,1,530,3,1110,45,0.177,0.359,575000
1,2,750,3,825,46,0.159,0.144,649000
1,1,550,3,733,46,0.177,0.319,455000
1,1,650,3,701,46,0.136,0.0382,429000
1,1,600,0,797,46,0.206,0.103,529000
2,1,1250,4,1420,47,0.152,0.314,1380000
0,1,535,2.5,681,47,0.137,0.276,399000
1,1,618,3,566,47,0.0766,0.214,769000
0,1,425,2.5,520,48,0.103,0.407,389000
0,1,560,2.5,491,48,0.199,0.116,560000
0,1,305,2,208,49,0.178,0.225,399000
3,2,1810,6,1400,49,0.0909,0.255,2350000
3,3,1810,5,2190,49,0.226,0.251,2930000
1,1,747,3,530,49,0.122,0.278,985000
1,1,550,3,614,49,0.115,0.126,439000
3,2,1570,5,1560,49,0.151,0.374,2430000
0,1,431,2,281,50,0.235,0.0051,529000
2,2,933,4,1410,50,0.0773,0.0363,1300000
2,2,1180,4.5,1200,50,0.223,0.0389,1650000
1,1,730,3.5,776,51,0.218,0.176,799000
2,2,1210,5,1270,51,0.214,0.149,2200000
1,1,726,3.5,741,51,0.199,0.116,799000
1,1,865,3,542,52,0.0966,0.391,1100000
1,1,625,3,825,52,0.211,0.165,550000
2,2,1090,5,1140,52,0.223,0.0389,1700000
2,2,1500,4,1530,53,0.226,0.251,2480000
1,1,840,3.5,615,53,0.122,0.278,899000
1,1,1180,4,1440,53,0.117,0.129,950000
1,1,1050,4,1050,54,0.226,0.251,1750000
1,1,841,3.5,505,55,0.122,0.278,1190000
2,1,1080,5,846,56,0.207,0.212,1250000
2,2,1930,5,1160,56,0.183,0.329,2870000
1,1,824,3.5,536,57,0.122,0.278,950000
1,1,627,3,650,57,0.0773,0.0363,730000
3,2,1450,5,2300,57,0.0967,0.371,1650000
0,1,345,2,580,58,0.166,0.349,299000
2,3,1950,6,2680,59,0.0799,0.193,2400000
1,1,540,3,437,59,0.202,0.199,556000
2,1,1290,5,1080,60,0.163,0.186,1400000
1,1,850,3.5,1020,60,0.0671,0.159,595000
1,1,870,4,1050,60,0.182,0.223,1080000
2,1,1000,5,1800,61,0.181,0.334,1100000
2,2,1550,5,1010,61,0.122,0.278,1800000
1,1,823,3.5,591,62,0.122,0.278,950000
3,2,1230,5,638,62,0.152,0.0633,1400000
1,1,628,3,636,62,0.0509,0.144,899000
1,1,901,3.5,554,62,0.0644,0.271,1300000
0,1,502,2.5,518,63,0.0509,0.144,619000
2,2,1300,6,1620,63,0.209,0.0715,990000
1,1,820,3.5,539,63,0.19,0.31,989000
1,1,818,3,803,64,0.226,0.251,1130000
3,3,1800,6,1630,65,0.101,0.334,2200000
3,2,1530,5,1550,65,0.226,0.251,2530000
1,1,749,3,736,66,0.226,0.251,995000
1,1,700,3,1200,66,0.126,0.331,650000
1,1,532,2.5,388,67,0.122,0.278,525000
1,1,702,3,431,69,0.0644,0.271,875000
2,1,800,4,1160,69,0.218,0.365,649000
3,3,1800,7,2050,70,0.178,0.411,2850000
1,1,840,3.5,675,70,0.122,0.278,925000
2,1,950,4,1060,71,0.216,0.361,799000
2,2,1160,4,1330,71,0.0265,0.123,1650000
2,1,1150,4,1500,72,0.129,0.351,1150000
0,1,823,3,396,72,0.122,0.278,795000
2,2,1160,4,1290,73,0.0265,0.123,1550000
2,1,1000,4,1580,73,0.174,0.361,690000
2,3,1800,7,2200,73,0.214,0.254,1580000
0,1,400,2,665,73,0.0772,0.316,329000
1,1,841,5,595,74,0.122,0.278,1150000
1,1,767,3,756,74,0.0952,0.171,945000
2,1,1180,5,1340,75,0.19,0.315,1100000
2,1,900,4,1480,76,0.146,0.239,749000
2,2,1600,4.5,1490,77,0.248,0.529,1950000
0,1,533,2.5,336,77,0.122,0.278,650000
1,1,700,3.5,1250,77,0.235,0.158,680000
3,2,1240,5,637,77,0.152,0.0633,1290000
1,2,700,3,1160,77,0.0814,0.313,530000
2,2,1200,5,1380,78,0.166,0.349,1200000
1,1,550,3,409,78,0.122,0.278,650000
3,2,1210,5,786,78,0.166,0.197,1650000
1,1,841,3.5,807,78,0.122,0.278,927000
2,2,1300,5,1110,79,0.11,0.25,2000000
1,1,650,4,1080,80,0.251,0.547,619000
2,2,1260,5,1050,80,0.202,0.199,1400000
2,2,1320,4.5,1330,80,0.168,0.225,1700000
1,1,450,3,730,81,0.156,0.386,395000
2,2,142,4.5,721,82,0.122,0.278,1650000
1,1,596,3,588,82,0.0952,0.171,799000
0,1,325,2,624,83,0.203,0.104,270000
2,2,1100,4,703,83,0.19,0.31,1500000
0,1,540,2.5,519,83,0.122,0.278,550000
2,1,775,3,1220,83,0.163,0.278,799000
3,2,1680,6,2330,83,0.239,0.541,2150000
0,1,540,2.5,362,84,0.122,0.278,600000
1,1,604,3,1090,85,0.0706,0.202,489000
1,1,865,3,956,86,0.214,0.149,899000
0,1,823,2,397,87,0.122,0.278,695000
3,3,1900,6,2940,87,0.156,0.224,3000000
1,1,499,4,604,88,0.23,0.0011,370000
3,2,1750,7,1300,90,0.202,0.199,1950000
1,1,900,4,598,93,0.122,0.278,1200000
1,1,800,3.5,1370,93,0.0862,0.0657,785000
2,1,1280,5,1860,95,0.0321,0.204,1250000
2,1,1130,4.5,947,95,0.163,0.186,1330000
1,1,900,3.5,1800,95,0.166,0.2,1140000
2,1,1100,4,1660,96,0.117,0.104,1200000
2,1,900,4,1040,97,0.164,0.0508,895000
2,1,1150,4,1940,97,0.104,0.334,1300000
1,1,776,3,494,101,0.202,0.35,675000
2,1,1230,5,1780,102,0.0537,0.406,1250000
2,2,1210,6,640,102,0.164,0.191,1500000
2,2,1200,4,1390,105,0.177,0.411,1550000
1,1,800,3.5,1110,108,0.247,0.113,730000
2,1,1280,5,1000,108,0.163,0.186,1600000
1,1,800,3,946,112,0.174,0.345,600000
1,1,649,3,422,113,0.122,0.278,895000
1,1,800,3.5,1300,114,0.0839,0.12,600000
2,2,1100,4.5,1510,115,0.0428,0.211,1160000
0,1,600,2,536,117,0.11,0.25,550000
3,1,775,5,709,118,0.202,0.0327,545000
1,1,741,3,613,118,0.231,0.124,950000
1,1,1240,3,1170,119,0.149,0.323,1600000
1,2,1280,4,1350,119,0.198,0.197,1500000
2,1,1070,5,834,119,0.163,0.186,1250000
2,2,1270,5,1030,120,0.11,0.25,1650000
1,1,861,4,1570,122,0.255,0.526,830000
0,1,540,2.5,341,122,0.122,0.278,599000
1,1,775,3,1130,123,0.208,0.49,775000
2,1,1400,5,2350,126,0.0839,0.12,1500000
2,1,900,4,1640,127,0.173,0.331,759000
0,1,460,3,306,130,0.235,0.0051,499000
3,2,1800,6,1970,133,0.199,0.435,2800000
1,1,636,3,737,135,0.177,0.411,755000
1,1,710,3,692,136,0.218,0.176,899000
2,1,1000,4,1180,136,0.183,0.235,889000
1,1,600,3.5,1090,138,0.227,0.1,399000
1,1,726,3,657,138,0.199,0.116,780000
2,2,1600,6.5,1880,139,0.0806,0.262,1300000
1,1,726,0,784,139,0.199,0.116,850000
2,2,1400,6,1950,140,0.127,0.227,1900000
1,1,739,3.5,562,142,0.231,0.124,1020000
3,2,1240,6,803,143,0.166,0.197,1700000
3,2,1400,6,1110,144,0.163,0.186,1900000
1,1,541,3,519,144,0.122,0.278,699000
0,1,438,2,302,146,0.156,0.0842,525000
2,2,1160,4.5,1340,146,0.177,0.411,1500000
2,1,1100,4,1770,147,0.133,0.276,1150000
1,1,702,3,480,147,0.122,0.278,875000
0,1,425,3,929,147,0.222,0.0511,399000
3,1,1160,5,1770,148,0.238,0.163,1200000
2,1,850,4,620,148,0.249,0.107,895000
1,1,742,3,869,152,0.182,0.223,995000
0,1,450,2.5,1010,152,0.128,0.221,499000
1,1,627,3,650,154,0.0773,0.0363,799000
1,1,750,3,1160,156,0.152,0.314,695000
3,2,1720,7,1290,156,0.202,0.199,1800000
3,2,1300,5,1200,156,0.172,0.394,1800000
1,1,750,3,947,157,0.179,0.104,849000
1,1,840,3.5,540,160,0.0644,0.271,1130000
1,1,702,3,444,161,0.122,0.278,849000
1,1,702,3,431,164,0.0644,0.271,995000
1,1,540,3,394,165,0.122,0.278,545000
0,1,540,2.5,341,165,0.122,0.278,775000
2,2,142,4.5,721,166,0.122,0.278,1300000
2,1,1140,5,1490,167,0.103,0.275,899000
2,1,791,3.5,1150,168,0.159,0.0597,950000
