worker_id,condition,q_id,model_pred,actual_price,user_model_pred,user_model_pred_conf,model_conf,final_pred,user_final_price_conf,step1_time,step2_time,step3_time
88e4ef81009279a0dfa1a82b69e4ff89,C0,4,0.6,0.6,0.6,4,2,0.7,3,15003,8877,8013
88e4ef81009279a0dfa1a82b69e4ff89,C0,5,0.6,0.8,0.6,4,3,0.7,3,41245,6412,6002
88e4ef81009279a0dfa1a82b69e4ff89,C0,2,2,2.5,1.6,2,4,2,4,11720,4185,6314
88e4ef81009279a0dfa1a82b69e4ff89,C0,1,1.2,1.3,1,2,2,1.3,4,6470,9836,10679
88e4ef81009279a0dfa1a82b69e4ff89,C0,6,1.3,1,1.2,4,2,1.2,4,5813,6332,3458
88e4ef81009279a0dfa1a82b69e4ff89,C0,0,1,0.9,0.8,4,2,0.8,4,10623,4054,4047
88e4ef81009279a0dfa1a82b69e4ff89,C0,9,0.6,0.5,0.5,4,4,0.6,2,13630,2556,6677
88e4ef81009279a0dfa1a82b69e4ff89,C0,8,1.3,1.6,1.2,4,4,1.3,4,7701,2304,4712
88e4ef81009279a0dfa1a82b69e4ff89,C0,7,1.7,1.7,1.7,4,5,1.7,5,5334,4377,2890
88e4ef81009279a0dfa1a82b69e4ff89,C0,3,1.6,1.8,1.4,4,2,1.5,4,4948,3245,3057
88e4ef81009279a0dfa1a82b69e4ff89,C0,10,1.2,0.6,1.2,4,5,1.2,5,4701,2520,2954
88e4ef81009279a0dfa1a82b69e4ff89,C0,11,1.5,-1,1.1,2,4,1.5,4,6731,3495,3718
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,1,1.2,1.3,-1,-1,-1,1.2,3,11276,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,5,0.6,0.8,-1,-1,-1,0.6,4,14252,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,4,0.6,0.6,-1,-1,-1,0.8,4,9228,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,8,1.3,1.6,-1,-1,-1,1.4,3,9618,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,0,1,0.9,-1,-1,-1,1.2,4,12887,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,3,1.6,1.8,-1,-1,-1,1.6,2,12745,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,2,2,2.5,-1,-1,-1,2.2,3,10576,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,9,0.6,0.5,-1,-1,-1,0.6,4,11150,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,6,1.3,1,-1,-1,-1,1.6,3,10669,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,7,1.7,1.7,-1,-1,-1,1.8,2,12154,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,10,1.1,0.6,-1,-1,-1,1,2,11376,-1,-1
1bf1ad9249bbe1c3b4d51d7afc9d815c,C4,11,1.5,-1,-1,-1,-1,1.1,3,9777,-1,-1
f6a2841ea89edd41849da049222515ec,C3,7,1.7,1.7,1.6,2,1,1.9,4,13923,7159,13581
f6a2841ea89edd41849da049222515ec,C3,2,2,2.5,2.4,4,2,2.3,4,10454,6100,9085
f6a2841ea89edd41849da049222515ec,C3,8,1.3,1.6,1.6,4,2,1.7,2,14454,5069,8508
f6a2841ea89edd41849da049222515ec,C3,6,1.3,1,1.4,4,2,1.5,2,11315,4093,11575
f6a2841ea89edd41849da049222515ec,C3,4,0.6,0.6,0.9,1,2,0.7,2,11471,7525,6534
f6a2841ea89edd41849da049222515ec,C3,3,1.6,1.8,1.6,2,4,1.6,4,8137,9151,3456
f6a2841ea89edd41849da049222515ec,C3,0,1,0.9,0.6,2,2,0.8,2,10579,5382,6904
f6a2841ea89edd41849da049222515ec,C3,1,1.2,1.3,1.2,2,4,1.2,4,7917,5485,4059
f6a2841ea89edd41849da049222515ec,C3,9,0.6,0.5,0.9,2,2,0.8,2,8025,8078,14417
f6a2841ea89edd41849da049222515ec,C3,5,0.6,0.8,0.8,2,2,0.7,2,9355,4637,4550
f6a2841ea89edd41849da049222515ec,C3,10,1.1,0.6,1.4,2,2,1.3,4,12930,5916,6600
f6a2841ea89edd41849da049222515ec,C3,11,1.5,-1,2,4,2,1.8,4,8976,8325,6449
9c187c652229e5cf5ac998b01b3bd561,C2,0,1,0.9,0.8,4,3,0.9,4,8550,6121,5449
9c187c652229e5cf5ac998b01b3bd561,C2,9,0.6,0.5,0.5,4,4,0.6,4,7307,2960,4858
9c187c652229e5cf5ac998b01b3bd561,C2,7,1.7,1.7,1.3,3,3,1.6,4,8365,3063,5179
9c187c652229e5cf5ac998b01b3bd561,C2,5,0.6,0.8,0.6,4,5,0.6,5,7357,2957,2795
9c187c652229e5cf5ac998b01b3bd561,C2,2,2,2.5,1.5,3,4,2.1,4,8772,2260,5133
9c187c652229e5cf5ac998b01b3bd561,C2,8,1.3,1.6,1.3,4,4,1.3,4,4934,2884,2577
9c187c652229e5cf5ac998b01b3bd561,C2,6,1.3,1,1.6,4,3,1.5,4,4550,1995,3140
9c187c652229e5cf5ac998b01b3bd561,C2,4,0.6,0.6,0.5,3,4,0.7,3,3361,2607,4127
9c187c652229e5cf5ac998b01b3bd561,C2,1,1.2,1.3,0.9,3,4,1.2,3,3493,2175,3708
9c187c652229e5cf5ac998b01b3bd561,C2,3,1.6,1.8,1.2,3,2,1.2,3,3000,2282,2879
9c187c652229e5cf5ac998b01b3bd561,C2,10,1.1,0.6,0.7,3,3,1,3,5090,2187,2410
9c187c652229e5cf5ac998b01b3bd561,C2,11,1.5,-1,0.8,4,2,1.2,3,5053,2728,3034
28e7e74a4858cfb609d1e84e12662dcd,C1,6,1.3,1,1.4,3,3,1.4,3,41665,13025,13282
28e7e74a4858cfb609d1e84e12662dcd,C1,8,1.3,1.6,1.3,5,3,1.4,4,13836,5332,7004
28e7e74a4858cfb609d1e84e12662dcd,C1,4,0.6,0.6,0.6,5,3,0.5,4,22186,3650,6276
28e7e74a4858cfb609d1e84e12662dcd,C1,9,0.6,0.5,0.6,5,3,0.7,4,16820,2897,6580
28e7e74a4858cfb609d1e84e12662dcd,C1,3,1.6,1.8,1.2,5,4,1.7,4,39614,7293,4874
28e7e74a4858cfb609d1e84e12662dcd,C1,5,0.6,0.8,0.6,5,4,0.5,4,17499,4365,4264
28e7e74a4858cfb609d1e84e12662dcd,C1,7,1.7,1.7,1.3,5,3,1.3,4,14636,13262,3131
28e7e74a4858cfb609d1e84e12662dcd,C1,0,1,0.9,1,4,4,1.1,4,16157,2867,3957
28e7e74a4858cfb609d1e84e12662dcd,C1,1,1.2,1.3,1.2,4,4,1.3,3,17451,8345,5020
28e7e74a4858cfb609d1e84e12662dcd,C1,2,2,2.5,1.7,5,4,1.8,4,15227,2774,4981
