worker_id,condition,q_id,model_pred,actual_price,user_model_pred,user_model_pred_conf,model_conf,final_pred,user_final_price_conf
7cc371f296709173ba6cc3a630807ff6,C1,0,1,0.9,0.5,2,5,0.7,2
7cc371f296709173ba6cc3a630807ff6,C1,1,1.2,1.3,0.7,2,4,1.5,1
7cc371f296709173ba6cc3a630807ff6,C1,2,2,2.5,0.9,2,4,1.7,2
7cc371f296709173ba6cc3a630807ff6,C1,3,1.6,1.8,1.3,3,3,1.7,3
7cc371f296709173ba6cc3a630807ff6,C1,4,0.6,0.6,0.8,2,4,0.7,2
7cc371f296709173ba6cc3a630807ff6,C1,5,0.6,0.8,0.8,3,3,0.7,2
7cc371f296709173ba6cc3a630807ff6,C1,6,1.3,1,0.9,2,4,1.2,3
7cc371f296709173ba6cc3a630807ff6,C1,7,1.7,1.7,1.6,3,3,1.8,3
7cc371f296709173ba6cc3a630807ff6,C1,8,1.3,1.6,1,2,3,1.2,3
7cc371f296709173ba6cc3a630807ff6,C1,9,0.6,0.5,0.7,2,3,0.7,2
7cc371f296709173ba6cc3a630807ff6,C1,10,1.2,0.6,0.9,2,4,1.1,2
7cc371f296709173ba6cc3a630807ff6,C1,11,1.5,-1,1.5,4,5,1.6,4
d77a2dd4a0b83384129d5838df8b4c0c,C4,0,1.5,0.9,-1,-1,-1,1,2
d77a2dd4a0b83384129d5838df8b4c0c,C4,1,1.5,1.3,-1,-1,-1,1.1,2
d77a2dd4a0b83384129d5838df8b4c0c,C4,2,1.5,2.5,-1,-1,-1,2.7,3
d77a2dd4a0b83384129d5838df8b4c0c,C4,3,1.5,1.8,-1,-1,-1,1.8,2
d77a2dd4a0b83384129d5838df8b4c0c,C4,4,1.5,0.6,-1,-1,-1,0.8,4
d77a2dd4a0b83384129d5838df8b4c0c,C4,5,1.5,0.8,-1,-1,-1,0.8,4
d77a2dd4a0b83384129d5838df8b4c0c,C4,6,1.5,1,-1,-1,-1,1.8,4
d77a2dd4a0b83384129d5838df8b4c0c,C4,7,1.5,1.7,-1,-1,-1,2.5,2
d77a2dd4a0b83384129d5838df8b4c0c,C4,8,1.5,1.6,-1,-1,-1,1.6,3
d77a2dd4a0b83384129d5838df8b4c0c,C4,9,1.5,0.5,-1,-1,-1,0.7,3
d77a2dd4a0b83384129d5838df8b4c0c,C4,10,1.5,0.6,-1,-1,-1,1.3,2
d77a2dd4a0b83384129d5838df8b4c0c,C4,11,1.5,-1,-1,-1,-1,1,1
0a9fa010f298c6c0273f2951db83e6d0,C3,0,1,0.9,0.6,4,4,1.1,2
0a9fa010f298c6c0273f2951db83e6d0,C3,1,1.2,1.3,0.8,3,4,1.3,3
0a9fa010f298c6c0273f2951db83e6d0,C3,2,2,2.5,1.1,4,5,1.8,4
