worker_id,condition,q_id,model_pred,actual_price,final_pred
95fa047ef37478808eb0d2769bd82238,C2,2,90000,60000,80000
95fa047ef37478808eb0d2769bd82238,C2,5,60000,50000,70000
95fa047ef37478808eb0d2769bd82238,C2,9,170000,200000,150000
95fa047ef37478808eb0d2769bd82238,C2,0,80000,80000,100000
95fa047ef37478808eb0d2769bd82238,C2,8,60000,80000,90000
95fa047ef37478808eb0d2769bd82238,C2,3,90000,80000,70000
95fa047ef37478808eb0d2769bd82238,C2,4,60000,80000,90000
95fa047ef37478808eb0d2769bd82238,C2,6,240000,290000,210000
95fa047ef37478808eb0d2769bd82238,C2,1,60000,70000,90000
95fa047ef37478808eb0d2769bd82238,C2,7,120000,120000,100000
53169ac2f92feeaa542c225915f4166c,C4,8,60000,80000,30000
53169ac2f92feeaa542c225915f4166c,C4,6,240000,290000,260000
53169ac2f92feeaa542c225915f4166c,C4,9,170000,200000,190000
53169ac2f92feeaa542c225915f4166c,C4,7,120000,120000,160000
53169ac2f92feeaa542c225915f4166c,C4,5,60000,50000,80000
53169ac2f92feeaa542c225915f4166c,C4,2,90000,60000,100000
53169ac2f92feeaa542c225915f4166c,C4,3,90000,80000,70000
53169ac2f92feeaa542c225915f4166c,C4,1,60000,70000,50000
53169ac2f92feeaa542c225915f4166c,C4,0,80000,80000,60000
53169ac2f92feeaa542c225915f4166c,C4,4,60000,80000,60000
7b9fd364f33415e048bcf55a88d0a195,C3,0,80000,80000,70000
7b9fd364f33415e048bcf55a88d0a195,C3,7,120000,120000,120000
7b9fd364f33415e048bcf55a88d0a195,C3,6,240000,290000,240000
7b9fd364f33415e048bcf55a88d0a195,C3,4,60000,80000,60000
7b9fd364f33415e048bcf55a88d0a195,C3,9,170000,200000,190000
7b9fd364f33415e048bcf55a88d0a195,C3,1,60000,70000,70000
7b9fd364f33415e048bcf55a88d0a195,C3,3,90000,80000,90000
7b9fd364f33415e048bcf55a88d0a195,C3,8,60000,80000,50000
7b9fd364f33415e048bcf55a88d0a195,C3,2,90000,60000,100000
7b9fd364f33415e048bcf55a88d0a195,C3,5,60000,50000,70000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,9,170000,200000,180000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,3,90000,80000,120000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,8,60000,80000,110000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,7,120000,120000,130000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,4,60000,80000,70000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,0,80000,80000,60000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,5,60000,50000,40000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,2,90000,60000,80000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,1,60000,70000,60000
dd9f2b8b32d00c8ed3c1a26bd04d7dc3,C1,6,240000,290000,200000
5f5a99691f0ce10b44a750d5ef1b943e,C2,7,120000,120000,130000
5f5a99691f0ce10b44a750d5ef1b943e,C2,4,60000,80000,50000
5f5a99691f0ce10b44a750d5ef1b943e,C2,9,170000,200000,160000
5f5a99691f0ce10b44a750d5ef1b943e,C2,8,60000,80000,50000
5f5a99691f0ce10b44a750d5ef1b943e,C2,2,90000,60000,100000
5f5a99691f0ce10b44a750d5ef1b943e,C2,3,90000,80000,70000
5f5a99691f0ce10b44a750d5ef1b943e,C2,0,80000,80000,80000
5f5a99691f0ce10b44a750d5ef1b943e,C2,1,60000,70000,50000
5f5a99691f0ce10b44a750d5ef1b943e,C2,5,60000,50000,50000
5f5a99691f0ce10b44a750d5ef1b943e,C2,6,240000,290000,200000
a860a242fb287bf8c3d3075e5b856f47,C4,4,60000,80000,100000
a860a242fb287bf8c3d3075e5b856f47,C4,8,60000,80000,60000
a860a242fb287bf8c3d3075e5b856f47,C4,5,60000,50000,80000
a860a242fb287bf8c3d3075e5b856f47,C4,9,170000,200000,120000
a860a242fb287bf8c3d3075e5b856f47,C4,6,240000,290000,240000
a860a242fb287bf8c3d3075e5b856f47,C4,7,120000,120000,120000
a860a242fb287bf8c3d3075e5b856f47,C4,0,80000,80000,80000
a860a242fb287bf8c3d3075e5b856f47,C4,1,60000,70000,80000
a860a242fb287bf8c3d3075e5b856f47,C4,3,90000,80000,100000
a860a242fb287bf8c3d3075e5b856f47,C4,2,90000,60000,90000
679238d486fd47e05d7b1472b0a8d443,C3,4,60000,80000,90000
679238d486fd47e05d7b1472b0a8d443,C3,9,170000,200000,190000
679238d486fd47e05d7b1472b0a8d443,C3,5,60000,50000,70000
679238d486fd47e05d7b1472b0a8d443,C3,8,60000,80000,60000
679238d486fd47e05d7b1472b0a8d443,C3,1,60000,70000,70000
679238d486fd47e05d7b1472b0a8d443,C3,3,90000,80000,110000
679238d486fd47e05d7b1472b0a8d443,C3,7,120000,120000,130000
679238d486fd47e05d7b1472b0a8d443,C3,2,90000,60000,110000
679238d486fd47e05d7b1472b0a8d443,C3,6,240000,290000,200000
