worker_id,condition,q_id,model_pred,actual_price,user_init_pred,final_pred,step1_time,step2_time
75773464457205bdd1c7ee9f6f4fda71,C0,5,0.6,0.8,0.8,0.8,4188,4869
75773464457205bdd1c7ee9f6f4fda71,C0,6,1.3,1,1.7,1.5,5206,2879
75773464457205bdd1c7ee9f6f4fda71,C0,2,2,2.5,2.9,2.3,3035,2309
75773464457205bdd1c7ee9f6f4fda71,C0,9,0.6,0.5,0.9,0.7,5505,2286
75773464457205bdd1c7ee9f6f4fda71,C0,0,1,0.9,1.5,1.2,6305,3779
75773464457205bdd1c7ee9f6f4fda71,C0,4,0.6,0.6,0.8,0.7,3796,2634
75773464457205bdd1c7ee9f6f4fda71,C0,7,1.7,1.7,2.3,1.5,8620,6255
75773464457205bdd1c7ee9f6f4fda71,C0,1,1.2,1.3,1.4,1.3,5439,3574
75773464457205bdd1c7ee9f6f4fda71,C0,8,1.3,1.6,2.4,1.5,4408,4383
75773464457205bdd1c7ee9f6f4fda71,C0,3,1.6,1.8,1.6,1.6,5288,2004
75773464457205bdd1c7ee9f6f4fda71,C0,10,1.2,0.6,1.3,1.3,3443,2450
75773464457205bdd1c7ee9f6f4fda71,C0,11,1.5,-1,1.3,1.4,5659,3532
988fb52222c0513cecc50920471723e9,C2,9,0.6,0.5,1.6,1,2469,5010
988fb52222c0513cecc50920471723e9,C2,6,1.3,1,2,1.3,4221,7634
988fb52222c0513cecc50920471723e9,C2,7,1.7,1.7,2.1,2.1,3072,2767
988fb52222c0513cecc50920471723e9,C2,8,1.3,1.6,2,1.7,2166,1989
988fb52222c0513cecc50920471723e9,C2,5,0.6,0.8,1.2,1,3953,4194
988fb52222c0513cecc50920471723e9,C2,3,1.6,1.8,2.2,2.1,2874,3898
988fb52222c0513cecc50920471723e9,C2,0,1,0.9,1.8,1.2,2357,2197
988fb52222c0513cecc50920471723e9,C2,2,2,2.5,2.6,2,3041,2167
988fb52222c0513cecc50920471723e9,C2,4,0.6,0.6,1.9,1,2162,6085
988fb52222c0513cecc50920471723e9,C2,1,1.2,1.3,2.2,1.6,2692,3829
988fb52222c0513cecc50920471723e9,C2,10,1.1,0.6,1.8,1.3,2658,3828
988fb52222c0513cecc50920471723e9,C2,11,1.5,-1,1.9,1.5,3853,1997
baaa7213e87870dc8bebef7353b831e5,C3,4,0.6,0.6,0.7,0.7,6127,15701
baaa7213e87870dc8bebef7353b831e5,C3,9,0.6,0.5,0.6,0.6,7237,4349
baaa7213e87870dc8bebef7353b831e5,C3,0,1,0.9,0.9,1.1,5539,5530
baaa7213e87870dc8bebef7353b831e5,C3,2,2,2.5,1.9,2.1,5800,6122
baaa7213e87870dc8bebef7353b831e5,C3,8,1.3,1.6,1.3,1.3,6302,3749
baaa7213e87870dc8bebef7353b831e5,C3,7,1.7,1.7,1.3,1.8,7941,3880
baaa7213e87870dc8bebef7353b831e5,C3,3,1.6,1.8,1.3,1.7,4869,6299
baaa7213e87870dc8bebef7353b831e5,C3,1,1.2,1.3,1.1,1.2,6476,3393
baaa7213e87870dc8bebef7353b831e5,C3,5,0.6,0.8,0.5,0.6,6495,4700
baaa7213e87870dc8bebef7353b831e5,C3,6,1.3,1,1.2,1.4,7171,3860
baaa7213e87870dc8bebef7353b831e5,C3,10,1.1,0.6,0.8,1.1,7196,3447
baaa7213e87870dc8bebef7353b831e5,C3,11,1.5,-1,0.7,1.2,6654,9781
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,9,0.6,0.5,0.7,0.7,6211,9015
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,6,1.3,1,1.4,1.3,8603,6731
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,3,1.6,1.8,1.8,1.7,7708,4499
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,8,1.3,1.6,1.2,1.3,8044,7068
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,1,1.2,1.3,1.4,1.3,4292,6717
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,0,1,0.9,0.8,0.9,5636,5285
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,4,0.6,0.6,0.8,0.7,5304,11101
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,7,1.7,1.7,1.8,1.8,4668,6596
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,2,2,2.5,1.9,2,6978,7212
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,5,0.6,0.8,0.6,0.6,9692,4188
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,10,1.1,0.6,1,1,5236,6876
04a6b06b2fe5943b02a6f5c8b0e70ec4,C4,11,1.5,-1,0.8,1,14530,11445
54d603b8fcf29c50003b1166c0e5338b,C2,1,1.2,1.3,1.6,1.2,5092,5997
54d603b8fcf29c50003b1166c0e5338b,C2,4,0.6,0.6,1,0.6,6492,8191
54d603b8fcf29c50003b1166c0e5338b,C2,3,1.6,1.8,1.4,1.6,5391,4486
54d603b8fcf29c50003b1166c0e5338b,C2,5,0.6,0.8,0.6,0.6,7018,5523
54d603b8fcf29c50003b1166c0e5338b,C2,2,2,2.5,1.8,2,8210,4424
54d603b8fcf29c50003b1166c0e5338b,C2,9,0.6,0.5,1,0.6,8063,5766
54d603b8fcf29c50003b1166c0e5338b,C2,6,1.3,1,1.3,1.3,6427,2788
54d603b8fcf29c50003b1166c0e5338b,C2,0,1,0.9,1.3,1.1,5490,4058
54d603b8fcf29c50003b1166c0e5338b,C2,7,1.7,1.7,1.4,1.6,7926,7099
54d603b8fcf29c50003b1166c0e5338b,C2,8,1.3,1.6,1.5,1.3,6877,4301
54d603b8fcf29c50003b1166c0e5338b,C2,10,1.1,0.6,1.2,1.1,5302,3134
54d603b8fcf29c50003b1166c0e5338b,C2,11,1.5,-1,1.2,1.4,6139,4145
cb1a253dafbf42f8d426d63087d9df8f,C1,2,2,2.5,1.9,1.9,15121,11282
cb1a253dafbf42f8d426d63087d9df8f,C1,4,0.6,0.6,0.4,0.5,10193,5406
cb1a253dafbf42f8d426d63087d9df8f,C1,3,1.6,1.8,1.2,1.7,7901,4334
cb1a253dafbf42f8d426d63087d9df8f,C1,0,1,0.9,0.7,1,5618,4687
cb1a253dafbf42f8d426d63087d9df8f,C1,5,0.6,0.8,0.2,0.3,11721,6159
cb1a253dafbf42f8d426d63087d9df8f,C1,8,1.3,1.6,1.2,1.3,8210,3719
cb1a253dafbf42f8d426d63087d9df8f,C1,1,1.2,1.3,1.5,1.3,7633,3039
cb1a253dafbf42f8d426d63087d9df8f,C1,9,0.6,0.5,0.5,0.6,8785,4759
cb1a253dafbf42f8d426d63087d9df8f,C1,6,1.3,1,1.6,1.5,8977,2687
cb1a253dafbf42f8d426d63087d9df8f,C1,7,1.7,1.7,1.5,1.6,8161,1751
cb1a253dafbf42f8d426d63087d9df8f,C1,10,1.2,0.6,0.8,1.3,6402,3758
cb1a253dafbf42f8d426d63087d9df8f,C1,11,1.5,-1,0.8,1.3,4610,4038
f06e1c8a73e433f0031249372b7ae25f,C4,0,1,0.9,1,1.3,3612,6528
f06e1c8a73e433f0031249372b7ae25f,C4,1,1.2,1.3,1.5,1.4,4475,7831
f06e1c8a73e433f0031249372b7ae25f,C4,6,1.3,1,1.8,1.1,6464,5391
f06e1c8a73e433f0031249372b7ae25f,C4,8,1.3,1.6,1.7,1.5,10467,8332
f06e1c8a73e433f0031249372b7ae25f,C4,3,1.6,1.8,1.9,1.7,4246,8349
f06e1c8a73e433f0031249372b7ae25f,C4,5,0.6,0.8,0.3,0.6,3532,4503
f06e1c8a73e433f0031249372b7ae25f,C4,7,1.7,1.7,2.2,2,3987,3187
f06e1c8a73e433f0031249372b7ae25f,C4,4,0.6,0.6,0.7,1,2717,2761
f06e1c8a73e433f0031249372b7ae25f,C4,9,0.6,0.5,0.7,0.8,5587,2219
f06e1c8a73e433f0031249372b7ae25f,C4,2,2,2.5,2.5,2.3,6622,2676
f06e1c8a73e433f0031249372b7ae25f,C4,10,1.1,0.6,1,1,3485,2674
f06e1c8a73e433f0031249372b7ae25f,C4,11,1.5,-1,2,1.8,5305,3544
481576450f149fdc7773a70d5656a2f6,C3,2,2,2.5,2,2,3173,7692
481576450f149fdc7773a70d5656a2f6,C3,3,1.6,1.8,1.4,1.6,2801,4231
481576450f149fdc7773a70d5656a2f6,C3,5,0.6,0.8,0.7,0.6,3680,5075
481576450f149fdc7773a70d5656a2f6,C3,4,0.6,0.6,0.7,0.7,2456,3051
481576450f149fdc7773a70d5656a2f6,C3,8,1.3,1.6,1.3,1.3,3851,3764
481576450f149fdc7773a70d5656a2f6,C3,0,1,0.9,1.1,1.1,3921,3500
481576450f149fdc7773a70d5656a2f6,C3,1,1.2,1.3,1.2,1.2,2537,2676
481576450f149fdc7773a70d5656a2f6,C3,6,1.3,1,1.2,1.3,5152,2820
481576450f149fdc7773a70d5656a2f6,C3,7,1.7,1.7,1.4,1.7,2748,3478
481576450f149fdc7773a70d5656a2f6,C3,9,0.6,0.5,0.8,0.7,3544,4052
481576450f149fdc7773a70d5656a2f6,C3,10,1.1,0.6,0.9,1.1,3137,2364
481576450f149fdc7773a70d5656a2f6,C3,11,1.5,-1,0.9,1.1,3073,5059
4784ae012e449d0b470eac35c92624f5,C2,1,1.2,1.3,1.1,1.2,14973,5606
4784ae012e449d0b470eac35c92624f5,C2,0,1,0.9,1.3,1.1,8043,6473
