worker_id,condition,q_id,q_index,model_pred,actual_price,final_pred
fcba210b247653eb5a6260843659d2ab,C3,9,0,1.7,2,1.5
fcba210b247653eb5a6260843659d2ab,C3,3,1,0.9,0.8,1.2
fcba210b247653eb5a6260843659d2ab,C3,5,2,0.6,0.5,0.6
fcba210b247653eb5a6260843659d2ab,C3,7,3,1.2,1.2,1.3
fcba210b247653eb5a6260843659d2ab,C3,4,4,0.6,0.8,0.7
cbdfeb5cb6bed94ecc8d0b3940470f74,C1,3,0,0.9,0.8,1
cbdfeb5cb6bed94ecc8d0b3940470f74,C1,7,1,1.2,1.2,1.1
cbdfeb5cb6bed94ecc8d0b3940470f74,C1,4,2,0.6,0.8,0.7
cbdfeb5cb6bed94ecc8d0b3940470f74,C1,9,3,1.7,2,1.9
cbdfeb5cb6bed94ecc8d0b3940470f74,C1,5,4,0.6,0.5,0.6
74be2739ebb420afcdfb9b863c0ef5ab,C2,5,0,0.6,0.5,0.7
74be2739ebb420afcdfb9b863c0ef5ab,C2,3,1,0.9,0.8,1.1
74be2739ebb420afcdfb9b863c0ef5ab,C2,4,2,0.6,0.8,0.5
74be2739ebb420afcdfb9b863c0ef5ab,C2,9,3,1.7,2,1.7
74be2739ebb420afcdfb9b863c0ef5ab,C2,7,4,1.2,1.2,1
babaf7336b40bd001488d23ae8aff536,C0,9,0,1.7,2,1.8
babaf7336b40bd001488d23ae8aff536,C0,5,1,0.6,0.5,0.9
babaf7336b40bd001488d23ae8aff536,C0,3,2,0.9,0.8,0.7
babaf7336b40bd001488d23ae8aff536,C0,4,3,0.6,0.8,0.5
babaf7336b40bd001488d23ae8aff536,C0,7,4,1.2,1.2,1.5
d12a781a6f06fbfaef7ed3d96afcd723,C1,9,0,1.7,2,1.3
d12a781a6f06fbfaef7ed3d96afcd723,C1,5,1,0.6,0.5,0.9
d12a781a6f06fbfaef7ed3d96afcd723,C1,7,2,1.2,1.2,1.4
d12a781a6f06fbfaef7ed3d96afcd723,C1,4,3,0.6,0.8,0.4
d12a781a6f06fbfaef7ed3d96afcd723,C1,3,4,0.9,0.8,1.1
6371f8c4d306075502d86d62fb89906d,C3,5,0,0.6,0.5,0.8
6371f8c4d306075502d86d62fb89906d,C3,9,1,1.7,2,1.6
6371f8c4d306075502d86d62fb89906d,C3,3,2,0.9,0.8,1.1
6371f8c4d306075502d86d62fb89906d,C3,4,3,0.6,0.8,0.6
6371f8c4d306075502d86d62fb89906d,C3,7,4,1.2,1.2,1.4
7bb2cde04f00132e382837c17cf27b40,C2,4,0,0.6,0.8,0.7
7bb2cde04f00132e382837c17cf27b40,C2,3,1,0.9,0.8,1.1
7bb2cde04f00132e382837c17cf27b40,C2,7,2,1.2,1.2,1.4
7bb2cde04f00132e382837c17cf27b40,C2,9,3,1.7,2,1.8
7bb2cde04f00132e382837c17cf27b40,C2,5,4,0.6,0.5,0.5
37add73a26e27d33d7743c240c73ba7a,C0,5,0,0.6,0.5,0.6
37add73a26e27d33d7743c240c73ba7a,C0,9,1,1.7,2,1.3
37add73a26e27d33d7743c240c73ba7a,C0,3,2,0.9,0.8,1.1
37add73a26e27d33d7743c240c73ba7a,C0,7,3,1.2,1.2,1.1
37add73a26e27d33d7743c240c73ba7a,C0,4,4,0.6,0.8,0.5
8c4d6c82d464613e8612297ed537efe8,C2,7,0,1.2,1.2,1.4
8c4d6c82d464613e8612297ed537efe8,C2,9,1,1.7,2,1.9
8c4d6c82d464613e8612297ed537efe8,C2,3,2,0.9,0.8,0.8
8c4d6c82d464613e8612297ed537efe8,C2,4,3,0.6,0.8,0.6
8c4d6c82d464613e8612297ed537efe8,C2,5,4,0.6,0.5,0.8
8f4a946f6fa41c86b365f7ab99ac796c,C3,4,0,0.6,0.8,0.8
8f4a946f6fa41c86b365f7ab99ac796c,C3,5,1,0.6,0.5,0.8
8f4a946f6fa41c86b365f7ab99ac796c,C3,7,2,1.2,1.2,1.1
8f4a946f6fa41c86b365f7ab99ac796c,C3,9,3,1.7,2,2
